Campo1,Campo2_texto,Campo2_enlaces,Campo3_texto,Campo3_enlaces,Campo4_texto,Campo4_enlaces
12:00 hs,"
                  Karina Rivera y Orlando Fundichely celebran el nacimiento de su nieta con emotivo abrazo [VIDEO]              ",https://rpp.pe/famosos/farandula/karina-rivera-y-orlando-fundichely-celebran-el-nacimiento-de-su-nieta-con-emotivo-video-noticia-1508414,"
                  Farándula              ",https://rpp.pe/famosos/farandula,Harold Quispe,https://rpp.pe/autor/hquispe
11:54 hs,"
                  Cluber Aliaga consideró que bandas de trata de personas en Lince podrían tener cómplices en la Policía y autoridades              ",https://rpp.pe/lima/policiales-crimenes/cluber-aliaga-considero-que-bandas-de-trata-de-personas-en-lince-podrian-tener-complices-en-la-policia-y-autoridades-noticia-1508412,"
                   Policiales / Crímenes              ",https://rpp.pe/lima/policiales-crimenes,Luis Felipe Rodriguez Jimenez,https://rpp.pe/autor/lrodriguez
11:49 hs,"
                  Chiclayo: padres de familia tomaron colegio de Tumán para exigir mejoras de infraestructura [VIDEO]              ",https://rpp.pe/peru/lambayeque/chiclayo-padres-de-familia-tomaron-colegio-de-tuman-para-exigir-mejoras-de-infraestructura-noticia-1508426,"
                  Lambayeque              ",https://rpp.pe/peru/lambayeque,Sandra Loise Reyes Martinez,https://rpp.pe/autor/sreyes
11:42 hs,"
                  Barcelona vs. Real Madrid: cuándo y a qué hora se juega el primer Clásico de la temporada 2023-24 en LaLiga              ",https://rpp.pe/futbol/futbol-mundial/barcelona-vs-real-madrid-cuando-y-a-que-hora-se-juega-el-primer-clasico-2023-24-en-laliga-noticia-1508423,"
                  Fútbol Mundial              ",https://rpp.pe/futbol/futbol-mundial,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
11:37 hs,"
                  Gobiernos regionales han usado menos de la mitad de su presupuesto para obras              ",https://rpp.pe/economia/economia/gobiernos-regionales-han-usado-menos-de-la-mitad-de-su-presupuesto-para-obras-noticia-1508450,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
11:33 hs,"
                  Selección Peruana: ¿qué partidos le restan este año en las Eliminatorias Sudamericanas?              ",https://rpp.pe/futbol/seleccion-peruana/seleccion-peruana-que-partidos-le-restan-este-ano-en-las-eliminatorias-sudamericanas-noticia-1508405,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
11:28 hs,"
                  China se llevó la primera medalla olímpica de oro de Dota 2              ",https://rpp.pe/videojuegos/esports/dota-2-china-se-llevo-primera-medalla-olimpica-noticia-1508432,"
                  eSports              ",https://rpp.pe/videojuegos/esports,Leonardo Ancajima,https://rpp.pe/autor/lancajima
11:21 hs,"
                  Daniel Soria cuestionó informe de la Contraloría que reveló incumplimiento de requisitos para el cargo que ocupa              ",https://rpp.pe/politica/judiciales/daniel-soria-cuestiono-informe-de-la-contraloria-que-revelo-incumplimiento-de-requisitos-para-el-cargo-que-ocupa-noticia-1508378,"
                  Judiciales              ",https://rpp.pe/politica/judiciales,Jair Zevallos Morón,https://rpp.pe/autor/jzevallos
11:18 hs,"
                  Luis Mesa, el despiadado Daniel Valencia, confirma que no estará en la nueva versión de 'Betty, la fea'              ",https://rpp.pe/tv/streaming/luis-mesa-el-despiadado-daniel-valencia-confirma-que-no-estara-en-la-nueva-version-de-betty-la-fea-noticia-1508379,"
                  Streaming              ",https://rpp.pe/tv/streaming,Renzo Napa,https://rpp.pe/autor/rnapa
11:16 hs,"
                  Policías estarían implicados en cobros de entradas a mina ilegal en La Libertad, según hipótesis de Fiscalía              ",https://rpp.pe/peru/actualidad/policias-estarian-implicados-en-cobros-de-entradas-a-mina-ilegal-en-la-libertad-segun-hipotesis-de-fiscalia-noticia-1508421,"
                  Actualidad              ",https://rpp.pe/peru/actualidad,Ego Agurto,https://rpp.pe/autor/eagurto
11:15 hs,"
                  X revela una alianza con Paris Hilton para promocionar sus nuevos productos y servicios              ",https://rpp.pe/tecnologia/twitter/x-revela-una-alianza-con-paris-hilton-para-promocionar-sus-nuevos-productos-y-servicios-noticia-1508431,"
                  Twitter              ",https://rpp.pe/tecnologia/twitter,Alberto Nishiyama,https://rpp.pe/autor/anishiyama
10:43 hs,"
                  ¿Mi hijo tiene anemia? Conoce qué factores pueden causar esta enfermedad, además de la deficiencia de hierro              ",https://rpp.pe/campanas/valor-compartido/mi-hijo-tiene-anemia-conoce-que-factores-pueden-causar-esta-enfermedad-ademas-de-la-deficiencia-de-hierro-noticia-1508419,"
                  Valor Compartido              ",https://rpp.pe/campanas/valor-compartido,,
10:40 hs,"
                  Ciberdelincuencia e Inteligencia Artificial ¿Puede el Perú defenderse ante estas amenazas digitales?              ",https://rpp.pe/tecnologia/mas-tecnologia/ciberdelincuencia-e-inteligencia-artificial-en-peru-2023-noticia-1508418,"
                  Más Tecnología              ",https://rpp.pe/tecnologia/mas-tecnologia,Jesús Veliz Delgado,https://rpp.pe/autor/jveliz
10:38 hs,"
                  Combustibles, entre los productos que más subieron de precio              ",https://rpp.pe/economia/economia/combustibles-entre-los-productos-que-mas-subieron-de-precio-noticia-1508425,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
10:05 hs,"
                  Comas: hombre es capturado en el momento en el que robaba productos de una bodega              ",https://rpp.pe/lima/seguridad/comas-hombre-es-capturado-en-el-momento-en-el-que-robaba-productos-de-una-bodega-noticia-1508367,"
                  Seguridad              ",https://rpp.pe/lima/seguridad,Jair Zevallos Morón,https://rpp.pe/autor/jzevallos
10:04 hs,"
                  Beyoncé deslumbra con tráiler de película basada en su última gira 'Renaissance World tour'              ",https://rpp.pe/cine/internacional/beyonce-deslumbra-con-trailer-de-pelicula-basada-en-su-ultima-gira-renaissance-world-tour-noticia-1508386,"
                  Internacional              ",https://rpp.pe/cine/internacional,Harold Quispe,https://rpp.pe/autor/hquispe
10:03 hs,"
                  Arequipa: Fiscalía solicitó nueve meses de prisión preventiva para presunto asesino de estudiante              ",https://rpp.pe/peru/arequipa/arequipa-fiscalia-solicito-nueve-meses-de-prision-preventiva-para-presunto-asesino-de-estudiante-noticia-1508400,"
                  Arequipa              ",https://rpp.pe/peru/arequipa,Sandra Loise Reyes Martinez,https://rpp.pe/autor/sreyes
09:43 hs,"
                  Google lanza la marca Chromebook Plus para unir a la inteligencia artificial con laptops asequibles              ",https://rpp.pe/tecnologia/google/google-chromebook-plus-lleva-la-ia-a-precios-asequibles-noticia-1508394,"
                  Google              ",https://rpp.pe/tecnologia/google,Leonardo Ancajima,https://rpp.pe/autor/lancajima
09:41 hs,"
                  Airbnb utiliza la IA en su guerra contra las fiestas en las propiedades en alquiler              ",https://rpp.pe/tecnologia/apps/airbnb-utiliza-la-ia-en-su-guerra-contra-las-fiestas-en-las-propiedades-en-alquiler-noticia-1508397,"
                  Apps              ",https://rpp.pe/tecnologia/apps,Alberto Nishiyama,https://rpp.pe/autor/anishiyama
09:30 hs,"
                  Inflación: ¿cuáles fueron los productos que más subieron en septiembre?              ",https://rpp.pe/economia/economia/inflacion-cuales-fueron-los-productos-que-mas-subieron-en-septiembre-noticia-1508411,"
                  Economía              ",https://rpp.pe/economia/economia,,
09:10 hs,"
                  El monopatín eléctrico Onewheel es retirado del mercado tras accidentes mortales              ",https://rpp.pe/tecnologia/mas-tecnologia/el-monopatin-electrico-onewheel-es-retirado-del-mercado-tras-accidentes-mortales-noticia-1508387,"
                  Más Tecnología              ",https://rpp.pe/tecnologia/mas-tecnologia,Alberto Nishiyama,https://rpp.pe/autor/anishiyama
09:05 hs,"
                  El eterno estudiante              ",https://rpp.pe/columnistas/percymarquinafeldman/el-eterno-estudiante-noticia-1508388,"
                  Percy Marquina Feldman              ",https://rpp.pe/columnistas/percymarquinafeldman,Percy Marquina Feldman,https://rpp.pe/autor/pmarquinafeldman
09:03 hs,"
                  El probable once que mandaría Jorge Fossati para el Universitario vs UTC en el Monumental [FOTOS]              ",https://rpp.pe/futbol/descentralizado/universitario-vs-utc-el-once-crema-para-el-duelo-de-fecha-17-del-torneo-clausura-noticia-1508377,"
                  Descentralizado              ",https://rpp.pe/futbol/descentralizado,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
08:45 hs,"
                  Fundador de la quebrada casa de criptomonedas FTX quería comprar Twitter junto a Elon Musk              ",https://rpp.pe/tecnologia/mas-tecnologia/ftx-fundador-queria-comprar-twitter-junto-a-elon-musk-noticia-1508380,"
                  Más Tecnología              ",https://rpp.pe/tecnologia/mas-tecnologia,Leonardo Ancajima,https://rpp.pe/autor/lancajima
08:45 hs,"
                  Debate presidencial en Argentina, por Fernando Carvallo [COLUMNA]              ",https://rpp.pe/mundo/argentina/debate-presidencial-en-argentina-por-fernando-carvallo-columna-noticia-1508447,"
                  Argentina              ",https://rpp.pe/mundo/argentina,Fernando Carvallo,https://rpp.pe/autor/fcarvallo
08:36 hs,"
                  Muere Cecilia Priego, actriz mexicana de 'La reina del sur', a los 36 años              ",https://rpp.pe/famosos/celebridades/cecilia-priego-actriz-mexicana-de-la-reina-del-sur-muere-a-los-36-anos-noticia-1508370,"
                  Celebridades              ",https://rpp.pe/famosos/celebridades,Harold Quispe,https://rpp.pe/autor/hquispe
08:30 hs,"
                  López Aliaga sobre funcionario de la MML investigado por presunto peculado: ""Quiero conversar con él y pedir su versión""              ",https://rpp.pe/politica/actualidad/rafael-lopez-aliaga-alcalde-de-lima-anuncia-reunion-con-funcionario-investigado-por-presunto-peculado-noticia-1508335,"
                  Lima              ",https://rpp.pe/politica/actualidad,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
08:25 hs,"
                  Lambayeque: trasportistas piden que se retire la basura que hay en la vía Chiclayo- San José              ",https://rpp.pe/peru/lambayeque/lambayeque-trasportistas-piden-que-se-retire-la-basura-que-hay-en-la-via-chiclayo-san-jose-noticia-1508375,"
                  Lambayeque              ",https://rpp.pe/peru/lambayeque,Sandra Loise Reyes Martinez,https://rpp.pe/autor/sreyes
08:22 hs,"
                  Hasta 50°C de sensación térmica: provincias de Loreto alcanzaron temperaturas históricas de calor              ",https://rpp.pe/peru/loreto/provincias-de-loreto-alcanzaron-temperaturas-historicas-de-calor-hasta-500c-de-sensacion-termica-noticia-1508371,"
                  Loreto              ",https://rpp.pe/peru/loreto,Luis Felipe Rodriguez Jimenez,https://rpp.pe/autor/lrodriguez
08:21 hs,"
                  El fútbol no para: conoce cómo se jugará la fecha 17 del Torneo Clausura              ",https://rpp.pe/futbol/descentralizado/liga-1-conoce-como-se-jugara-la-antepenultima-fecha-del-torneo-clausura-noticia-1508365,"
                  Descentralizado              ",https://rpp.pe/futbol/descentralizado,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
08:18 hs,"
                  Gérard Depardieu rechaza acusaciones de violación sexual y afirma sufrir un ""linchamiento"" mediático              ",https://rpp.pe/famosos/celebridades/gerard-depardieu-rechaza-acusaciones-de-violacion-sexual-y-afirma-sufrir-un-linchamiento-mediatico-noticia-1508373,"
                  Celebridades              ",https://rpp.pe/famosos/celebridades,Renzo Napa,https://rpp.pe/autor/rnapa
08:09 hs,"
                  ¿Multas por usar IPTV? La Unión Europea quiere tener registrado a sus usuarios para sancionarlos              ",https://rpp.pe/tecnologia/mas-tecnologia/iptv-union-europea-quiere-registro-de-usuarios-para-sancionarlos-noticia-1508369,"
                  Más Tecnología              ",https://rpp.pe/tecnologia/mas-tecnologia,Leonardo Ancajima,https://rpp.pe/autor/lancajima
08:09 hs,"
                  Edge se despide de WWE y debuta a lo grande en la compañía rival AEW              ",https://rpp.pe/lucha/wwe/edge-deja-wwe-y-debuta-en-la-compania-rival-aew-noticia-1508374,"
                  WWE              ",https://rpp.pe/lucha/wwe,Leonardo Ancajima,https://rpp.pe/autor/lancajima
07:39 hs,"
                  Inflación se desacelera y está en su menor nivel desde el 2021              ",https://rpp.pe/economia/economia/inflacion-se-desacelera-y-esta-en-su-menor-nivel-desde-el-2021-noticia-1508376,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
07:18 hs,"
                  Precio del dólar: Tipo de cambio durante la mañana de hoy, 2 de octubre              ",https://rpp.pe/economia/economia/precio-del-dolar-peru-tipo-de-cambio-durante-la-manana-de-hoy-2-de-octubre-noticia-1508368,"
                  Economía              ",https://rpp.pe/economia/economia,Guadalupe Gamboa,https://rpp.pe/autor/ngamboa
06:55 hs,"
                  Comisión de Ética del Congreso evaluará hoy tres denuncias contra Alejandro Soto              ",https://rpp.pe/politica/congreso/comisio-de-etica-del-congreso-evaluara-hoy-tres-denuncias-contra-alejandro-soto-noticia-1508364,"
                  Congreso              ",https://rpp.pe/politica/congreso,Jair Zevallos Morón,https://rpp.pe/autor/jzevallos
06:47 hs,"
                  Milei vs Massa, el principal duelo de un debate presidencial sin vencedores en Argentina              ",https://rpp.pe/mundo/argentina/milei-vs-massa-el-principal-duelo-de-un-debate-presidencial-sin-vencedores-en-argentina-noticia-1508366,"
                  Argentina              ",https://rpp.pe/mundo/argentina,,
06:44 hs,"
                  Partidos de hoy, lunes 2 de octubre: conoce la programación de la fecha              ",https://rpp.pe/futbol/futbol-mundial/partidos-de-hoy-peru-2-de-octubre-del-2023-resultados-y-canales-de-tv-futbol-en-vivo-noticia-1508342,"
                  Fútbol Mundial              ",https://rpp.pe/futbol/futbol-mundial,,
06:21 hs,"
                  Presuntos sicarios asesinan a balazos a un hombre dentro de un mototaxi en Puente Piedra              ",https://rpp.pe/lima/seguridad/puente-piedra-sicarios-asesinan-a-balazos-a-un-hombre-dentro-de-un-mototaxi-noticia-1508362,"
                  Seguridad              ",https://rpp.pe/lima/seguridad,Jair Zevallos Morón,https://rpp.pe/autor/jzevallos
05:50 hs,"
                  Diez muertos y 60 heridos tras el colapso del techo de una iglesia durante una misa en México              ",https://rpp.pe/mundo/latinoamerica/mexico-techo-de-iglesia-colapsa-y-mueren-10-personas-en-tamaulipas-noticia-1508363,"
                  Latinoamerica              ",https://rpp.pe/mundo/latinoamerica,,
