Campo1,Campo2_texto,Campo2_enlaces,Campo3_texto,Campo3_enlaces,Campo4_texto,Campo4_enlaces
Hace 23 horas,"
                                        Comisión de Ética Parlamentaria recomienda suspender por 120 días a María Cordero Jon Tay por presunto recorte de sueldo a sus trabajadores                                    ",https://rpp.pe/politica/congreso/maria-cordero-jon-tay-comision-de-etica-recomienda-suspenderla-por-120-dias-por-recorte-de-sueldo-a-trabajadores-noticia-1508551,"
                                        Congreso                                    ",https://rpp.pe/politica/congreso,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
Hace 23 horas,"
                                        Franco Zanelatto, emocionado por su primera convocatoria a la Selección: ""Es fruto del trabajo que hago día a día""                                    ",https://rpp.pe/futbol/seleccion-peruana/franco-zanelatto-convocado-a-la-seleccion-peruana-es-fruto-del-trabajo-que-hago-dia-a-dia-noticia-1508549,"
                                        Selección Peruana                                    ",https://rpp.pe/futbol/seleccion-peruana,Erick Chavez,https://rpp.pe/autor/echavez
Hace 23 horas,"
                                        Kiernan Shipka está en Perú: actriz de 'El mundo oculto de Sabrina' visitó Barranco y cenó en Central                                    ",https://rpp.pe/famosos/celebridades/kiernan-shipka-esta-en-peru-actriz-de-el-mundo-oculto-de-sabrina-visito-barranco-y-ceno-en-central-fotos-noticia-1508550,"
                                        Celebridades                                    ",https://rpp.pe/famosos/celebridades,Brenda García Retamal,https://rpp.pe/autor/bgarcia
Hace 23 horas,"
                                        Alcaldes de distritos de Lima Metropolitana aseguran estar ""conformes"" con la explicación de Sedapal por anunciado corte de agua                                    ",https://rpp.pe/lima/actualidad/sedapal-alcaldes-de-distritos-de-lima-metropolitana-estan-conformes-con-explicacion-por-anunciado-corte-de-agua-noticia-1508538,"
                                        Lima                                    ",https://rpp.pe/lima/actualidad,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
Hace un día,"
                                        Imelda Tumialán dice que la JNJ se mantendrá ""firme"" en la defensa de la independencia del sistema de justicia                                    ",https://rpp.pe/politica/actualidad/imelda-tumialan-jnj-se-mantendra-firme-en-la-defensa-de-la-independencia-del-sistema-de-justicia-noticia-1508541,"
                                        Lima                                    ",https://rpp.pe/politica/actualidad,,
Hace un día,"
                                        Robos a viviendas se han reducido en un 40 % durante estado de emergencia en SJL, afirma alcalde                                    ",https://rpp.pe/lima/actualidad/jesus-maldonado-robos-a-viviendas-se-han-reducido-en-un-40-en-estado-de-emergencia-en-sjl-noticia-1508544,"
                                        Lima                                    ",https://rpp.pe/lima/actualidad,Sergio Espinoza,https://rpp.pe/autor/sespinoza
Hace un día,"
                                        Comisión de Ética Parlamentaria manda al archivo dos denuncias contra el presidente del Congreso                                    ",https://rpp.pe/politica/congreso/alejandro-soto-comision-de-etica-manda-al-archivo-dos-denuncias-contra-presidente-del-congreso-noticia-1508543,"
                                        Congreso                                    ",https://rpp.pe/politica/congreso,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
Hace un día,"
                                        RPP te lleva el estadio: gana 1 entrada doble occidente y 3 entradas dobles oriente para el partido Universitario vs. UTC por La Liga 1                                    ",https://rpp.pe/lima/actualidad/rpp-te-lleva-el-estadio-gana-1-entrada-doble-occidente-y-3-entradas-dobles-oriente-para-el-partido-universitario-vs-utc-por-la-liga-1-noticia-1508548,"
                                        Lima                                    ",https://rpp.pe/lima/actualidad,,
Hace un día,"
                                        La inflación se desacelera, ¿será un alivio para los peruanos?                                    ",https://rpp.pe/economia/economia/la-inflacion-se-desacelera-sera-un-alivio-para-los-peruanos-noticia-1508539,"
                                        Economía                                    ",https://rpp.pe/economia/economia,Maritza Saenz,https://rpp.pe/autor/msaenz
Hace un día,"
                                        Seis sujetos armados asaltan un tragamonedas en el Cercado de Lima y se llevan 2 mil soles                                    ",https://rpp.pe/lima/actualidad/cercado-de-lima-seis-sujetos-armados-asaltan-un-tragamonedas-y-se-llevan-2-mil-soles-noticia-1508534,"
                                        Lima                                    ",https://rpp.pe/lima/actualidad,Pedro Luis Ramos Martinez,https://rpp.pe/autor/pramos
Hace un día,"
                                        ¿Cuál es el mejor momento para el destete y adopción de un cachorro?                                    ",https://rpp.pe/peru/actualidad/cual-es-el-mejor-momento-para-el-destete-y-adopcion-de-un-cachorro-noticia-1508536,"
                                        Actualidad                                    ",https://rpp.pe/peru/actualidad,Andrés Gallegos,https://rpp.pe/autor/agallegos
Hace un día,"
                                        Emanuel Noir se conmueve al ser sorprendido con propuesta de matrimonio de su novia [VIDEO]                                    ",https://rpp.pe/famosos/celebridades/emanuel-noir-se-conmueve-al-ser-sorprendido-con-propuesta-de-matrimonio-de-su-novia-video-noticia-1508532,"
                                        Celebridades                                    ",https://rpp.pe/famosos/celebridades,Brenda García Retamal,https://rpp.pe/autor/bgarcia
Hace un día,"
                                        Manuel Lorenzo Vidaurre: a los 250 años de su natalicio                                    ",https://rpp.pe/columnistas/ricardoleninalfredofallacarrillo/manuel-lorenzo-vidaurre-a-los-250-anos-de-su-natalicio-noticia-1508751,"
                                        Ricardo L. Falla Carrillo                                    ",https://rpp.pe/columnistas/ricardoleninalfredofallacarrillo,Ricardo L.  Falla Carrillo,https://rpp.pe/autor/ricardoleninalfredofallacarrillo
Hace un día,"
                                        Consejos de Ministros aprobó decreto que permite expulsión de extranjeros que cometan sicariato u homicidio                                    ",https://rpp.pe/politica/actualidad/consejos-de-ministros-aprobo-decreto-que-permite-expulsion-de-extranjeros-que-cometan-sicariato-u-homicidio-noticia-1508524,"
                                        Lima                                    ",https://rpp.pe/politica/actualidad,Sandra Loise Reyes Martinez,https://rpp.pe/autor/sreyes
16:56 hs,"
                  Bryan Reyna optimista tras su regreso a la Selección Peruana: ""Me motiva mucho""              ",https://rpp.pe/futbol/seleccion-peruana/seleccion-peruana-bryan-reyna-optimista-tras-su-regreso-para-las-eliminatorias-noticia-1508508,"
                  Selección Peruana              ",https://rpp.pe/futbol/seleccion-peruana,José Luis Blanco Pagán,https://rpp.pe/autor/jblanco
16:54 hs,"
                  'Saw X' desplaza a 'La Monja 2' y lidera taquilla en el Perú tras su estreno en cines              ",https://rpp.pe/cine/peru/saw-x-desplaza-a-la-monja-2-y-lidera-taquilla-en-el-peru-tras-su-estreno-en-cines-noticia-1508514,"
                  Perú              ",https://rpp.pe/cine/peru,Harold Quispe,https://rpp.pe/autor/hquispe
16:45 hs,"
                  El dólar bordea los S/ 3.80, su nivel más alto en siete meses, ¿qué implica esto?              ",https://rpp.pe/economia/economia/el-dolar-bordea-los-s-380-su-nivel-mas-alto-en-siete-meses-que-implica-esto-noticia-1507998,"
                  Economía              ",https://rpp.pe/economia/economia,Maritza Saenz,https://rpp.pe/autor/msaenz
